Геологоразведка;Геологическое обеспечение разработки месторождений углеводородов (магистратура)
Геологоразведка;Разработка месторождений трудноизвлекаемых и нетрадиционных углеводородов (магистратура)
Геологоразведка;Нефтегазовая инженерия (Petroleum engineering) (магистратура)
Геологоразведка;Технологии нефти, газа и природных битумов (магистратура)
Геологоразведка;Машины и оборудование нефтяных и газовых промыслов
Геологоразведка;Геофизические методы поисков и разведки месторождений полезных ископаемых
Геологоразведка;"Геология поиска и разведки;"
Геологоразведка;Геолого-геофизический сервис нефтегазовых скважин
Геологоразведка;Геолого-геофизические технологии в нефтегазовом деле
Геологоразведка;Геология и геохимия горючих ископаемых
Геологоразведка;Геология, разведка и оценка запасов месторождений углеводородов (магистратура)
Геологоразведка;Геоэкология
Геологоразведка;Геологическое моделирование месторождений углеводородов
Геологоразведка;Геология природных резервуаров нефти и газа
Геологоразведка;Освоение нефтегазовых месторождений арктической зоны (магистратура)
Геологоразведка;Геологическое сопровождение разработки месторождений углеводородов (магистратура)
Геологоразведка;Геолого-геофизический сервис
Геологоразведка;Прикладная геология
Геологоразведка;Геонавигация бурения нефтяных и газовых скважин
Геологоразведка;Геология месторождений нефти и газа
Геологоразведка;Физика пластовых флюидов (магистратура)
Геологоразведка;Технология геологической разведки
Геологоразведка;Поиски месторождений нефти и газа
Геологоразведка;Геологическое моделирование
Геологоразведка;Геоинформационные системы в геофизике (магистратура)
Геологоразведка;Геомеханическое моделирование
Геологоразведка;Геофизика (магистратура)
Геологоразведка;Геолого-геофизические проблемы освоения месторождений нефти и газа (магистратура)
Геологоразведка;Нефтегазовый инжиниринг (магистратура)
Геологоразведка;Системный инжиниринг в нефтегазовой отрасли (магистратура)
Геологоразведка;Цифровые технологии разведки и разработки нефтяных и газовых месторождений (магистратура)
Бурение и добыча;Бурение нефтяных и газовых скважин 
Бурение и добыча;Эксплуатация скважин в осложненных условиях (магистратур)
Бурение и добыча;Технология бурения глубоких нефтяных и газовых скважин на шельфе и на море (магистратура)
Бурение и добыча;Сервисное обслуживание и капитальный ремонт скважин (магистратура)
Бурение и добыча;Системный инжиниринг в нефтегазовой отрасли (магистратура)
Бурение и добыча;Навигационные системы при бурении сложнопрофильных скважин (магистратура)
Бурение и добыча;Заканчивание и крепление скважин в сложных горно-геологических условиях (магистратура)
Бурение и добыча;Промывочные жидкости и технология промывки скважин в осложненных условиях (магистратура)
