sphere;name
Экологические;Экологическая осведомленность
Экологические;Экологическая безопасность
Экологические;Современные методы математического моделирования миграции загрязняющих веществ в компонентах окружающей природной среды
Экологические;Технологии метангидратов
Экологические;Геотермальная энергия
Экологические;Биотехнологии в добыче нефти
Экологические;Технологии восстановления после бурения
Экологические;Технологии энергосбережения
Экологические;Энергоэффективность и возобновляемая энергия
Экологические;Экологическая устойчивость
Экологические;Экологическая оценка рисков
Экологические;Защита биоразнообразия
Экологические;Экологический аудит
Экологические;Экологический дизайн
Экологические;Экологическая этика
Цифровые;Робототехника
Цифровые;Роботизация и автоматизация
Цифровые;Умение работать с большими данными
Цифровые;Технологии блокчейн
Цифровые;Компьютерное зрение и видеоаналитика
Цифровые;Беспилотные системы
Цифровые;Системы управления энергопотреблением
Цифровые;Интеллектуальные системы мониторинга
Цифровые;Технологии виртуальной и дополненной реальности
Цифровые;Геоинформационное моделирование и анализ
Цифровые;Искусственный интеллект и машинное обучение
Цифровые;Аддитивные технологии, реверс-инжиниринг
Цифровые;Облачные распределенные системы управления производством
Цифровые;Промышленный интернет вещей
Цифровые;Голосовые и нейроинтерфейсы
Цифровые;Цифровые двойники
Софты;Лидерство
Софты;Этическое поведение
Софты;Управление временем
Софты;Креативность
Софты;Автономия и самоменеджмент
Софты;Стрессоустойчивость
Софты;Способность к обучению
Софты;Работа в команде
Софты;Аналитическое мышление
Софты;Дизайн-мышление
Софты;Кросс-культурная компетенция
Софты;Медиа-грамотность
Софты;Финансовая грамотность
Софты;Владение иностранными языками
Софты;Навыки самопродвижения
Производственные;
